scenario_id,objective,aps_locations,num_q_positive,num_initial_inventory,total_flow,status,q,q_full,initial_inventory,w_full,flow_summary
0,7751032867.800295,[],0,0,0.0,2,{},"{(26, 'food'): 0.0, (26, 'water'): 0.0, (30, 'food'): 0.0, (30, 'water'): 0.0, (31, 'food'): 0.0, (31, 'water'): 0.0, (33, 'food'): 0.0, (33, 'water'): 0.0, (34, 'food'): 0.0, (34, 'water'): 0.0, (35, 'food'): 0.0, (35, 'water'): 0.0, (36, 'food'): 0.0, (36, 'water'): 0.0, (38, 'food'): 0.0, (38, 'water'): 0.0}",{},"{(26, 'food', 0): 0.0, (26, 'food', 1): 0.0, (26, 'food', 2): 0.0, (26, 'food', 3): 0.0, (26, 'food', 4): 0.0, (26, 'food', 5): 0.0, (26, 'water', 0): 0.0, (26, 'water', 1): 0.0, (26, 'water', 2): 0.0, (26, 'water', 3): 0.0, (26, 'water', 4): 0.0, (26, 'water', 5): 0.0, (30, 'food', 0): 0.0, (30, 'food', 1): 0.0, (30, 'food', 2): 0.0, (30, 'food', 3): 0.0, (30, 'food', 4): 0.0, (30, 'food', 5): 0.0, (30, 'water', 0): 0.0, (30, 'water', 1): 0.0, (30, 'water', 2): 0.0, (30, 'water', 3): 0.0, (30, 'water', 4): 0.0, (30, 'water', 5): 0.0, (31, 'food', 0): 0.0, (31, 'food', 1): 0.0, (31, 'food', 2): 0.0, (31, 'food', 3): 0.0, (31, 'food', 4): 0.0, (31, 'food', 5): 0.0, (31, 'water', 0): 0.0, (31, 'water', 1): 0.0, (31, 'water', 2): 0.0, (31, 'water', 3): 0.0, (31, 'water', 4): 0.0, (31, 'water', 5): 0.0, (33, 'food', 0): 0.0, (33, 'food', 1): 0.0, (33, 'food', 2): 0.0, (33, 'food', 3): 0.0, (33, 'food', 4): 0.0, (33, 'food', 5): 0.0, (33, 'water', 0): 0.0, (33, 'water', 1): 0.0, (33, 'water', 2): 0.0, (33, 'water', 3): 0.0, (33, 'water', 4): 0.0, (33, 'water', 5): 0.0, (34, 'food', 0): 0.0, (34, 'food', 1): 0.0, (34, 'food', 2): 0.0, (34, 'food', 3): 0.0, (34, 'food', 4): 0.0, (34, 'food', 5): 0.0, (34, 'water', 0): 0.0, (34, 'water', 1): 0.0, (34, 'water', 2): 0.0, (34, 'water', 3): 0.0, (34, 'water', 4): 0.0, (34, 'water', 5): 0.0, (35, 'food', 0): 0.0, (35, 'food', 1): 0.0, (35, 'food', 2): 0.0, (35, 'food', 3): 0.0, (35, 'food', 4): 0.0, (35, 'food', 5): 0.0, (35, 'water', 0): 0.0, (35, 'water', 1): 0.0, (35, 'water', 2): 0.0, (35, 'water', 3): 0.0, (35, 'water', 4): 0.0, (35, 'water', 5): 0.0, (36, 'food', 0): 0.0, (36, 'food', 1): 0.0, (36, 'food', 2): 0.0, (36, 'food', 3): 0.0, (36, 'food', 4): 0.0, (36, 'food', 5): 0.0, (36, 'water', 0): 0.0, (36, 'water', 1): 0.0, (36, 'water', 2): 0.0, (36, 'water', 3): 0.0, (36, 'water', 4): 0.0, (36, 'water', 5): 0.0, (38, 'food', 0): 0.0, (38, 'food', 1): 0.0, (38, 'food', 2): 0.0, (38, 'food', 3): 0.0, (38, 'food', 4): 0.0, (38, 'food', 5): 0.0, (38, 'water', 0): 0.0, (38, 'water', 1): 0.0, (38, 'water', 2): 0.0, (38, 'water', 3): 0.0, (38, 'water', 4): 0.0, (38, 'water', 5): 0.0}",{}
1,2455878967.9761915,"[23, 25, 26, 27, 30]",10,10,52467.096774193546,2,"{(23, 'food'): 10000.0, (23, 'water'): 10000.0, (25, 'food'): 10000.0, (25, 'water'): 10000.0, (26, 'food'): 10000.0, (26, 'water'): 10000.0, (27, 'food'): 10000.0, (27, 'water'): 10000.0, (30, 'food'): 10000.0, (30, 'water'): 10000.0}","{(23, 'food'): 10000.0, (23, 'water'): 10000.0, (25, 'food'): 10000.0, (25, 'water'): 10000.0, (26, 'food'): 10000.0, (26, 'water'): 10000.0, (27, 'food'): 10000.0, (27, 'water'): 10000.0, (30, 'food'): 10000.0, (30, 'water'): 10000.0, (31, 'food'): 0.0, (31, 'water'): 0.0}","{(23, 'food'): 10000.0, (23, 'water'): 10000.0, (25, 'food'): 10000.0, (25, 'water'): 10000.0, (26, 'food'): 10000.0, (26, 'water'): 10000.0, (27, 'food'): 10000.0, (27, 'water'): 10000.0, (30, 'food'): 10000.0, (30, 'water'): 10000.0}","{(23, 'food', 0): 10000.0, (23, 'food', 1): 5000.0, (23, 'food', 2): 2500.0, (23, 'food', 3): 1250.0, (23, 'food', 4): 625.0, (23, 'food', 5): 312.5, (23, 'water', 0): 10000.0, (23, 'water', 1): 5.161290322580645, (23, 'water', 2): 2.5806451612903225, (23, 'water', 3): 1.2903225806451613, (23, 'water', 4): 0.6451612903225806, (23, 'water', 5): 0.3225806451612903, (25, 'food', 0): 10000.0, (25, 'food', 1): 4994.8387096774195, (25, 'food', 2): 2497.4193548387098, (25, 'food', 3): 1248.7096774193549, (25, 'food', 4): 0.0, (25, 'food', 5): 0.0, (25, 'water', 0): 10000.0, (25, 'water', 1): 5.161290322580645, (25, 'water', 2): 2.5806451612903225, (25, 'water', 3): 1.2903225806451613, (25, 'water', 4): 0.6451612903225806, (25, 'water', 5): 0.3225806451612903, (26, 'food', 0): 10000.0, (26, 'food', 1): 5000.0, (26, 'food', 2): 2500.0, (26, 'food', 3): 1250.0, (26, 'food', 4): 1249.3548387096776, (26, 'food', 5): 0.0, (26, 'water', 0): 10000.0, (26, 'water', 1): 5000.0, (26, 'water', 2): 2500.0, (26, 'water', 3): 1250.0, (26, 'water', 4): 625.0, (26, 'water', 5): 312.5, (27, 'food', 0): 10000.0, (27, 'food', 1): 0.0, (27, 'food', 2): 0.0, (27, 'food', 3): 0.0, (27, 'food', 4): 0.0, (27, 'food', 5): 624.6774193548388, (27, 'water', 0): 10000.0, (27, 'water', 1): 5.161290322580645, (27, 'water', 2): 2.5806451612903225, (27, 'water', 3): 1.2903225806451613, (27, 'water', 4): 0.6451612903225806, (27, 'water', 5): 0.3225806451612903, (30, 'food', 0): 10000.0, (30, 'food', 1): 10000.0, (30, 'food', 2): 5000.0, (30, 'food', 3): 2500.0, (30, 'food', 4): 1250.0, (30, 'food', 5): 625.0, (30, 'water', 0): 10000.0, (30, 'water', 1): 9994.838709677419, (30, 'water', 2): 4997.419354838709, (30, 'water', 3): 2498.7096774193546, (30, 'water', 4): 1249.3548387096773, (30, 'water', 5): 624.6774193548387, (31, 'food', 0): 0.0, (31, 'food', 1): 5.161290322580645, (31, 'food', 2): 2.5806451612903225, (31, 'food', 3): 1.2903225806451613, (31, 'food', 4): 0.6451612903225806, (31, 'food', 5): 0.3225806451612903, (31, 'water', 0): 0.0, (31, 'water', 1): 9989.677419354839, (31, 'water', 2): 4994.8387096774195, (31, 'water', 3): 2497.4193548387098, (31, 'water', 4): 1248.7096774193549, (31, 'water', 5): 624.3548387096774}","{(23, 25): 9989.677419354837, (25, 26): 1248.7096774193549, (25, 31): 19989.67741935484, (26, 27): 1249.3548387096776, (27, 30): 19989.677419354837}"
2,437856991.3037809,[9],2,2,0.0,2,"{(9, 'food'): 10000.0, (9, 'water'): 10000.0}","{(9, 'food'): 10000.0, (9, 'water'): 10000.0}","{(9, 'food'): 10000.0, (9, 'water'): 10000.0}","{(9, 'food', 0): 10000.0, (9, 'food', 1): 5000.0, (9, 'food', 2): 2500.0, (9, 'food', 3): 1250.0, (9, 'food', 4): 625.0, (9, 'food', 5): 312.5, (9, 'water', 0): 10000.0, (9, 'water', 1): 5000.0, (9, 'water', 2): 2500.0, (9, 'water', 3): 1250.0, (9, 'water', 4): 625.0, (9, 'water', 5): 312.5}",{}
3,2838022987.287843,"[6, 7, 8, 13]",4,4,1875.0,2,"{(6, 'water'): 10000.0, (7, 'water'): 10000.0, (8, 'water'): 10000.0, (13, 'water'): 10000.0}","{(6, 'food'): 0.0, (6, 'water'): 10000.0, (7, 'food'): 0.0, (7, 'water'): 10000.0, (8, 'food'): 0.0, (8, 'water'): 10000.0, (13, 'food'): 0.0, (13, 'water'): 10000.0}","{(6, 'water'): 10000.0, (7, 'water'): 10000.0, (8, 'water'): 10000.0, (13, 'water'): 10000.0}","{(6, 'food', 0): 0.0, (6, 'food', 1): 0.0, (6, 'food', 2): 0.0, (6, 'food', 3): 0.0, (6, 'food', 4): 0.0, (6, 'food', 5): 0.0, (6, 'water', 0): 10000.0, (6, 'water', 1): 5000.0, (6, 'water', 2): 2500.0, (6, 'water', 3): 1250.0, (6, 'water', 4): 625.0, (6, 'water', 5): 0.0, (7, 'food', 0): 0.0, (7, 'food', 1): 0.0, (7, 'food', 2): 0.0, (7, 'food', 3): 0.0, (7, 'food', 4): 0.0, (7, 'food', 5): 0.0, (7, 'water', 0): 10000.0, (7, 'water', 1): 5000.0, (7, 'water', 2): 2500.0, (7, 'water', 3): 1250.0, (7, 'water', 4): 625.0, (7, 'water', 5): 0.0, (8, 'food', 0): 0.0, (8, 'food', 1): 0.0, (8, 'food', 2): 0.0, (8, 'food', 3): 0.0, (8, 'food', 4): 0.0, (8, 'food', 5): 0.0, (8, 'water', 0): 10000.0, (8, 'water', 1): 5000.0, (8, 'water', 2): 2500.0, (8, 'water', 3): 1250.0, (8, 'water', 4): 625.0, (8, 'water', 5): 937.5, (13, 'food', 0): 0.0, (13, 'food', 1): 0.0, (13, 'food', 2): 0.0, (13, 'food', 3): 0.0, (13, 'food', 4): 0.0, (13, 'food', 5): 0.0, (13, 'water', 0): 10000.0, (13, 'water', 1): 5000.0, (13, 'water', 2): 2500.0, (13, 'water', 3): 1250.0, (13, 'water', 4): 625.0, (13, 'water', 5): 312.5}","{(6, 7): 625.0, (7, 8): 1250.0}"
4,5536345883.154959,[],0,0,0.0,2,{},"{(28, 'food'): 0.0, (28, 'water'): 0.0, (29, 'food'): 0.0, (29, 'water'): 0.0, (32, 'food'): 0.0, (32, 'water'): 0.0, (37, 'food'): 0.0, (37, 'water'): 0.0, (39, 'food'): 0.0, (39, 'water'): 0.0, (40, 'food'): 0.0, (40, 'water'): 0.0}",{},"{(28, 'food', 0): 0.0, (28, 'food', 1): 0.0, (28, 'food', 2): 0.0, (28, 'food', 3): 0.0, (28, 'food', 4): 0.0, (28, 'food', 5): 0.0, (28, 'water', 0): 0.0, (28, 'water', 1): 0.0, (28, 'water', 2): 0.0, (28, 'water', 3): 0.0, (28, 'water', 4): 0.0, (28, 'water', 5): 0.0, (29, 'food', 0): 0.0, (29, 'food', 1): 0.0, (29, 'food', 2): 0.0, (29, 'food', 3): 0.0, (29, 'food', 4): 0.0, (29, 'food', 5): 0.0, (29, 'water', 0): 0.0, (29, 'water', 1): 0.0, (29, 'water', 2): 0.0, (29, 'water', 3): 0.0, (29, 'water', 4): 0.0, (29, 'water', 5): 0.0, (32, 'food', 0): 0.0, (32, 'food', 1): 0.0, (32, 'food', 2): 0.0, (32, 'food', 3): 0.0, (32, 'food', 4): 0.0, (32, 'food', 5): 0.0, (32, 'water', 0): 0.0, (32, 'water', 1): 0.0, (32, 'water', 2): 0.0, (32, 'water', 3): 0.0, (32, 'water', 4): 0.0, (32, 'water', 5): 0.0, (37, 'food', 0): 0.0, (37, 'food', 1): 0.0, (37, 'food', 2): 0.0, (37, 'food', 3): 0.0, (37, 'food', 4): 0.0, (37, 'food', 5): 0.0, (37, 'water', 0): 0.0, (37, 'water', 1): 0.0, (37, 'water', 2): 0.0, (37, 'water', 3): 0.0, (37, 'water', 4): 0.0, (37, 'water', 5): 0.0, (39, 'food', 0): 0.0, (39, 'food', 1): 0.0, (39, 'food', 2): 0.0, (39, 'food', 3): 0.0, (39, 'food', 4): 0.0, (39, 'food', 5): 0.0, (39, 'water', 0): 0.0, (39, 'water', 1): 0.0, (39, 'water', 2): 0.0, (39, 'water', 3): 0.0, (39, 'water', 4): 0.0, (39, 'water', 5): 0.0, (40, 'food', 0): 0.0, (40, 'food', 1): 0.0, (40, 'food', 2): 0.0, (40, 'food', 3): 0.0, (40, 'food', 4): 0.0, (40, 'food', 5): 0.0, (40, 'water', 0): 0.0, (40, 'water', 1): 0.0, (40, 'water', 2): 0.0, (40, 'water', 3): 0.0, (40, 'water', 4): 0.0, (40, 'water', 5): 0.0}",{}
5,16608667.815302297,"[19, 20, 22]",6,6,5000.0,2,"{(19, 'food'): 10000.0, (19, 'water'): 10000.0, (20, 'food'): 10000.0, (20, 'water'): 10000.0, (22, 'food'): 10000.0, (22, 'water'): 10000.0}","{(19, 'food'): 10000.0, (19, 'water'): 10000.0, (20, 'food'): 10000.0, (20, 'water'): 10000.0, (22, 'food'): 10000.0, (22, 'water'): 10000.0}","{(19, 'food'): 10000.0, (19, 'water'): 10000.0, (20, 'food'): 10000.0, (20, 'water'): 10000.0, (22, 'food'): 10000.0, (22, 'water'): 10000.0}","{(19, 'food', 0): 10000.0, (19, 'food', 1): 5000.0, (19, 'food', 2): 2500.0, (19, 'food', 3): 1250.0, (19, 'food', 4): 625.0, (19, 'food', 5): 312.5, (19, 'water', 0): 10000.0, (19, 'water', 1): 5000.0, (19, 'water', 2): 0.0, (19, 'water', 3): 0.0, (19, 'water', 4): 0.0, (19, 'water', 5): 0.0, (20, 'food', 0): 10000.0, (20, 'food', 1): 5000.0, (20, 'food', 2): 2500.0, (20, 'food', 3): 1250.0, (20, 'food', 4): 625.0, (20, 'food', 5): 312.5, (20, 'water', 0): 10000.0, (20, 'water', 1): 5000.0, (20, 'water', 2): 5000.0, (20, 'water', 3): 2500.0, (20, 'water', 4): 1250.0, (20, 'water', 5): 625.0, (22, 'food', 0): 10000.0, (22, 'food', 1): 5000.0, (22, 'food', 2): 2500.0, (22, 'food', 3): 1250.0, (22, 'food', 4): 625.0, (22, 'food', 5): 312.5, (22, 'water', 0): 10000.0, (22, 'water', 1): 5000.0, (22, 'water', 2): 2500.0, (22, 'water', 3): 1250.0, (22, 'water', 4): 625.0, (22, 'water', 5): 312.5}","{(19, 20): 5000.0}"
6,13970927012.736746,"[1, 2, 3, 4, 5]",10,10,61188.06451612902,2,"{(1, 'food'): 10000.0, (1, 'water'): 10000.0, (2, 'food'): 10000.0, (2, 'water'): 10000.0, (3, 'food'): 10000.0, (3, 'water'): 10000.0, (4, 'food'): 10000.0, (4, 'water'): 10000.0, (5, 'food'): 10000.0, (5, 'water'): 10000.0}","{(1, 'food'): 10000.0, (1, 'water'): 10000.0, (2, 'food'): 10000.0, (2, 'water'): 10000.0, (3, 'food'): 10000.0, (3, 'water'): 10000.0, (4, 'food'): 10000.0, (4, 'water'): 10000.0, (5, 'food'): 10000.0, (5, 'water'): 10000.0}","{(1, 'food'): 10000.0, (1, 'water'): 10000.0, (2, 'food'): 10000.0, (2, 'water'): 10000.0, (3, 'food'): 10000.0, (3, 'water'): 10000.0, (4, 'food'): 10000.0, (4, 'water'): 10000.0, (5, 'food'): 10000.0, (5, 'water'): 10000.0}","{(1, 'food', 0): 10000.0, (1, 'food', 1): 5.161290322580645, (1, 'food', 2): 2.5806451612903225, (1, 'food', 3): 1.2903225806451613, (1, 'food', 4): 0.6451612903225806, (1, 'food', 5): 0.3225806451612903, (1, 'water', 0): 10000.0, (1, 'water', 1): 5.161290322580645, (1, 'water', 2): 2.5806451612903225, (1, 'water', 3): 1.2903225806451613, (1, 'water', 4): 0.6451612903225806, (1, 'water', 5): 0.3225806451612903, (2, 'food', 0): 10000.0, (2, 'food', 1): 5000.0, (2, 'food', 2): 2500.0, (2, 'food', 3): 1250.0, (2, 'food', 4): 625.0, (2, 'food', 5): 312.5, (2, 'water', 0): 10000.0, (2, 'water', 1): 5000.0, (2, 'water', 2): 2500.0, (2, 'water', 3): 1250.0, (2, 'water', 4): 625.0, (2, 'water', 5): 312.5, (3, 'food', 0): 10000.0, (3, 'food', 1): 5000.0, (3, 'food', 2): 2500.0, (3, 'food', 3): 1250.0, (3, 'food', 4): 625.0, (3, 'food', 5): 0.0, (3, 'water', 0): 10000.0, (3, 'water', 1): 5000.0, (3, 'water', 2): 2500.0, (3, 'water', 3): 1250.0, (3, 'water', 4): 625.0, (3, 'water', 5): 0.0, (4, 'food', 0): 10000.0, (4, 'food', 1): 5.161290322580645, (4, 'food', 2): 2.5806451612903225, (4, 'food', 3): 1.2903225806451613, (4, 'food', 4): 0.6451612903225806, (4, 'food', 5): 0.3225806451612903, (4, 'water', 0): 10000.0, (4, 'water', 1): 5.161290322580645, (4, 'water', 2): 2.5806451612903225, (4, 'water', 3): 1.2903225806451613, (4, 'water', 4): 0.6451612903225806, (4, 'water', 5): 0.3225806451612903, (5, 'food', 0): 10000.0, (5, 'food', 1): 14989.677419354837, (5, 'food', 2): 7494.838709677419, (5, 'food', 3): 3747.4193548387093, (5, 'food', 4): 1873.7096774193546, (5, 'food', 5): 1249.3548387096773, (5, 'water', 0): 10000.0, (5, 'water', 1): 14989.677419354837, (5, 'water', 2): 7494.838709677419, (5, 'water', 3): 3747.4193548387093, (5, 'water', 4): 1873.7096774193546, (5, 'water', 5): 1249.3548387096773}","{(1, 4): 19979.354838709674, (3, 5): 1250.0, (4, 5): 39958.70967741935}"
7,177968028.47761428,"[14, 15, 24]",6,6,7500.0,2,"{(14, 'food'): 10000.0, (14, 'water'): 10000.0, (15, 'food'): 10000.0, (15, 'water'): 10000.0, (24, 'food'): 10000.0, (24, 'water'): 10000.0}","{(14, 'food'): 10000.0, (14, 'water'): 10000.0, (15, 'food'): 10000.0, (15, 'water'): 10000.0, (24, 'food'): 10000.0, (24, 'water'): 10000.0}","{(14, 'food'): 10000.0, (14, 'water'): 10000.0, (15, 'food'): 10000.0, (15, 'water'): 10000.0, (24, 'food'): 10000.0, (24, 'water'): 10000.0}","{(14, 'food', 0): 10000.0, (14, 'food', 1): 5000.0, (14, 'food', 2): 2500.0, (14, 'food', 3): 1250.0, (14, 'food', 4): 0.0, (14, 'food', 5): 0.0, (14, 'water', 0): 10000.0, (14, 'water', 1): 5000.0, (14, 'water', 2): 2500.0, (14, 'water', 3): 1250.0, (14, 'water', 4): 0.0, (14, 'water', 5): 0.0, (15, 'food', 0): 10000.0, (15, 'food', 1): 5000.0, (15, 'food', 2): 2500.0, (15, 'food', 3): 0.0, (15, 'food', 4): 0.0, (15, 'food', 5): 0.0, (15, 'water', 0): 10000.0, (15, 'water', 1): 5000.0, (15, 'water', 2): 2500.0, (15, 'water', 3): 0.0, (15, 'water', 4): 0.0, (15, 'water', 5): 0.0, (24, 'food', 0): 10000.0, (24, 'food', 1): 5000.0, (24, 'food', 2): 2500.0, (24, 'food', 3): 2500.0, (24, 'food', 4): 1875.0, (24, 'food', 5): 937.5, (24, 'water', 0): 10000.0, (24, 'water', 1): 5000.0, (24, 'water', 2): 2500.0, (24, 'water', 3): 2500.0, (24, 'water', 4): 1875.0, (24, 'water', 5): 937.5}","{(14, 24): 2500.0, (15, 24): 5000.0}"
8,5411628934.832358,[],0,0,0.0,2,{},"{(30, 'food'): 0.0, (30, 'water'): 0.0, (31, 'food'): 0.0, (31, 'water'): 0.0, (32, 'food'): 0.0, (32, 'water'): 0.0, (33, 'food'): 0.0, (33, 'water'): 0.0, (34, 'food'): 0.0, (34, 'water'): 0.0, (35, 'food'): 0.0, (35, 'water'): 0.0, (36, 'food'): 0.0, (36, 'water'): 0.0, (37, 'food'): 0.0, (37, 'water'): 0.0, (38, 'food'): 0.0, (38, 'water'): 0.0, (40, 'food'): 0.0, (40, 'water'): 0.0}",{},"{(30, 'food', 0): 0.0, (30, 'food', 1): 0.0, (30, 'food', 2): 0.0, (30, 'food', 3): 0.0, (30, 'food', 4): 0.0, (30, 'food', 5): 0.0, (30, 'water', 0): 0.0, (30, 'water', 1): 0.0, (30, 'water', 2): 0.0, (30, 'water', 3): 0.0, (30, 'water', 4): 0.0, (30, 'water', 5): 0.0, (31, 'food', 0): 0.0, (31, 'food', 1): 0.0, (31, 'food', 2): 0.0, (31, 'food', 3): 0.0, (31, 'food', 4): 0.0, (31, 'food', 5): 0.0, (31, 'water', 0): 0.0, (31, 'water', 1): 0.0, (31, 'water', 2): 0.0, (31, 'water', 3): 0.0, (31, 'water', 4): 0.0, (31, 'water', 5): 0.0, (32, 'food', 0): 0.0, (32, 'food', 1): 0.0, (32, 'food', 2): 0.0, (32, 'food', 3): 0.0, (32, 'food', 4): 0.0, (32, 'food', 5): 0.0, (32, 'water', 0): 0.0, (32, 'water', 1): 0.0, (32, 'water', 2): 0.0, (32, 'water', 3): 0.0, (32, 'water', 4): 0.0, (32, 'water', 5): 0.0, (33, 'food', 0): 0.0, (33, 'food', 1): 0.0, (33, 'food', 2): 0.0, (33, 'food', 3): 0.0, (33, 'food', 4): 0.0, (33, 'food', 5): 0.0, (33, 'water', 0): 0.0, (33, 'water', 1): 0.0, (33, 'water', 2): 0.0, (33, 'water', 3): 0.0, (33, 'water', 4): 0.0, (33, 'water', 5): 0.0, (34, 'food', 0): 0.0, (34, 'food', 1): 0.0, (34, 'food', 2): 0.0, (34, 'food', 3): 0.0, (34, 'food', 4): 0.0, (34, 'food', 5): 0.0, (34, 'water', 0): 0.0, (34, 'water', 1): 0.0, (34, 'water', 2): 0.0, (34, 'water', 3): 0.0, (34, 'water', 4): 0.0, (34, 'water', 5): 0.0, (35, 'food', 0): 0.0, (35, 'food', 1): 0.0, (35, 'food', 2): 0.0, (35, 'food', 3): 0.0, (35, 'food', 4): 0.0, (35, 'food', 5): 0.0, (35, 'water', 0): 0.0, (35, 'water', 1): 0.0, (35, 'water', 2): 0.0, (35, 'water', 3): 0.0, (35, 'water', 4): 0.0, (35, 'water', 5): 0.0, (36, 'food', 0): 0.0, (36, 'food', 1): 0.0, (36, 'food', 2): 0.0, (36, 'food', 3): 0.0, (36, 'food', 4): 0.0, (36, 'food', 5): 0.0, (36, 'water', 0): 0.0, (36, 'water', 1): 0.0, (36, 'water', 2): 0.0, (36, 'water', 3): 0.0, (36, 'water', 4): 0.0, (36, 'water', 5): 0.0, (37, 'food', 0): 0.0, (37, 'food', 1): 0.0, (37, 'food', 2): 0.0, (37, 'food', 3): 0.0, (37, 'food', 4): 0.0, (37, 'food', 5): 0.0, (37, 'water', 0): 0.0, (37, 'water', 1): 0.0, (37, 'water', 2): 0.0, (37, 'water', 3): 0.0, (37, 'water', 4): 0.0, (37, 'water', 5): 0.0, (38, 'food', 0): 0.0, (38, 'food', 1): 0.0, (38, 'food', 2): 0.0, (38, 'food', 3): 0.0, (38, 'food', 4): 0.0, (38, 'food', 5): 0.0, (38, 'water', 0): 0.0, (38, 'water', 1): 0.0, (38, 'water', 2): 0.0, (38, 'water', 3): 0.0, (38, 'water', 4): 0.0, (38, 'water', 5): 0.0, (40, 'food', 0): 0.0, (40, 'food', 1): 0.0, (40, 'food', 2): 0.0, (40, 'food', 3): 0.0, (40, 'food', 4): 0.0, (40, 'food', 5): 0.0, (40, 'water', 0): 0.0, (40, 'water', 1): 0.0, (40, 'water', 2): 0.0, (40, 'water', 3): 0.0, (40, 'water', 4): 0.0, (40, 'water', 5): 0.0}",{}
9,15664833467.83658,"[1, 2, 3, 4, 5]",10,10,61188.06451612902,2,"{(1, 'food'): 10000.0, (1, 'water'): 10000.0, (2, 'food'): 10000.0, (2, 'water'): 10000.0, (3, 'food'): 10000.0, (3, 'water'): 10000.0, (4, 'food'): 10000.0, (4, 'water'): 10000.0, (5, 'food'): 10000.0, (5, 'water'): 10000.0}","{(1, 'food'): 10000.0, (1, 'water'): 10000.0, (2, 'food'): 10000.0, (2, 'water'): 10000.0, (3, 'food'): 10000.0, (3, 'water'): 10000.0, (4, 'food'): 10000.0, (4, 'water'): 10000.0, (5, 'food'): 10000.0, (5, 'water'): 10000.0}","{(1, 'food'): 10000.0, (1, 'water'): 10000.0, (2, 'food'): 10000.0, (2, 'water'): 10000.0, (3, 'food'): 10000.0, (3, 'water'): 10000.0, (4, 'food'): 10000.0, (4, 'water'): 10000.0, (5, 'food'): 10000.0, (5, 'water'): 10000.0}","{(1, 'food', 0): 10000.0, (1, 'food', 1): 5.161290322580645, (1, 'food', 2): 2.5806451612903225, (1, 'food', 3): 1.2903225806451613, (1, 'food', 4): 0.6451612903225806, (1, 'food', 5): 0.3225806451612903, (1, 'water', 0): 10000.0, (1, 'water', 1): 5.161290322580645, (1, 'water', 2): 2.5806451612903225, (1, 'water', 3): 1.2903225806451613, (1, 'water', 4): 0.6451612903225806, (1, 'water', 5): 0.3225806451612903, (2, 'food', 0): 10000.0, (2, 'food', 1): 5000.0, (2, 'food', 2): 2500.0, (2, 'food', 3): 1250.0, (2, 'food', 4): 625.0, (2, 'food', 5): 312.5, (2, 'water', 0): 10000.0, (2, 'water', 1): 5000.0, (2, 'water', 2): 2500.0, (2, 'water', 3): 1250.0, (2, 'water', 4): 625.0, (2, 'water', 5): 312.5, (3, 'food', 0): 10000.0, (3, 'food', 1): 5000.0, (3, 'food', 2): 2500.0, (3, 'food', 3): 1250.0, (3, 'food', 4): 625.0, (3, 'food', 5): 0.0, (3, 'water', 0): 10000.0, (3, 'water', 1): 5000.0, (3, 'water', 2): 2500.0, (3, 'water', 3): 1250.0, (3, 'water', 4): 625.0, (3, 'water', 5): 0.0, (4, 'food', 0): 10000.0, (4, 'food', 1): 5.161290322580645, (4, 'food', 2): 2.5806451612903225, (4, 'food', 3): 1.2903225806451613, (4, 'food', 4): 0.6451612903225806, (4, 'food', 5): 0.3225806451612903, (4, 'water', 0): 10000.0, (4, 'water', 1): 5.161290322580645, (4, 'water', 2): 2.5806451612903225, (4, 'water', 3): 1.2903225806451613, (4, 'water', 4): 0.6451612903225806, (4, 'water', 5): 0.3225806451612903, (5, 'food', 0): 10000.0, (5, 'food', 1): 14989.677419354837, (5, 'food', 2): 7494.838709677419, (5, 'food', 3): 3747.4193548387093, (5, 'food', 4): 1873.7096774193546, (5, 'food', 5): 1249.3548387096773, (5, 'water', 0): 10000.0, (5, 'water', 1): 14989.677419354837, (5, 'water', 2): 7494.838709677419, (5, 'water', 3): 3747.4193548387093, (5, 'water', 4): 1873.7096774193546, (5, 'water', 5): 1249.3548387096773}","{(1, 4): 19979.354838709674, (3, 5): 1250.0, (4, 5): 39958.70967741935}"
10,344624594.67661864,"[11, 12]",4,4,10000.0,2,"{(11, 'food'): 10000.0, (11, 'water'): 10000.0, (12, 'food'): 10000.0, (12, 'water'): 10000.0}","{(11, 'food'): 10000.0, (11, 'water'): 10000.0, (12, 'food'): 10000.0, (12, 'water'): 10000.0}","{(11, 'food'): 10000.0, (11, 'water'): 10000.0, (12, 'food'): 10000.0, (12, 'water'): 10000.0}","{(11, 'food', 0): 10000.0, (11, 'food', 1): 5000.0, (11, 'food', 2): 0.0, (11, 'food', 3): 0.0, (11, 'food', 4): 0.0, (11, 'food', 5): 0.0, (11, 'water', 0): 10000.0, (11, 'water', 1): 5000.0, (11, 'water', 2): 0.0, (11, 'water', 3): 0.0, (11, 'water', 4): 0.0, (11, 'water', 5): 0.0, (12, 'food', 0): 10000.0, (12, 'food', 1): 5000.0, (12, 'food', 2): 5000.0, (12, 'food', 3): 2500.0, (12, 'food', 4): 1250.0, (12, 'food', 5): 625.0, (12, 'water', 0): 10000.0, (12, 'water', 1): 5000.0, (12, 'water', 2): 5000.0, (12, 'water', 3): 2500.0, (12, 'water', 4): 1250.0, (12, 'water', 5): 625.0}","{(11, 12): 10000.0}"
